,white_user_id,white_elo,white_aggressiveness,white_total_time,white_early_times_mean,white_early_times_median,white_early_times_variance,white_early_times_max,white_early_times_min,white_mid_times_mean,white_mid_times_median,white_mid_times_variance,white_mid_times_max,white_mid_times_min,white_end_times_mean,white_end_times_median,white_end_times_variance,white_end_times_max,white_end_times_min,black_user_id,black_elo,black_aggressiveness,black_total_time,black_early_times_mean,black_early_times_median,black_early_times_variance,black_early_times_max,black_early_times_min,black_mid_times_mean,black_mid_times_median,black_mid_times_variance,black_mid_times_max,black_mid_times_min,black_end_times_mean,black_end_times_median,black_end_times_variance,black_end_times_max,black_end_times_min,game_link,opening,result,movements,total_time,points_balance,taken_balance,opening_enc
1727,Mishel52,2208,2.0,211.0,6.6,5.0,14.24,14.0,4.0,13.125,11.0,48.359375,30.0,6.0,12.166666666666666,12.0,20.13888888888889,19.0,6.0,adrianmadrid,1878,2.0,150.0,6.2,3.0,55.760000000000005,21.0,1.0,9.625,9.0,30.984375,20.0,2.0,8.4,8.0,29.04,15.0,2.0,https://lichess.org/FIGHWw6p,Sicilian Defense: Hyperaccelerated Fianchetto,0,39,361.0,9,3,868
1728,Adzanicov,1856,2.5,673.0,17.916666666666668,9.5,407.4097222222222,73.0,2.0,21.857142857142858,24.5,125.26530612244899,40.0,2.0,12.666666666666666,4.5,287.7222222222223,63.0,2.0,Mishel52,2206,2.5,354.0,11.25,9.5,33.6875,21.0,3.0,10.357142857142858,7.5,56.80102040816326,29.0,4.0,6.166666666666667,7.0,6.8055555555555545,11.0,1.0,https://lichess.org/7Z0q600C,Zukertort Opening: Reversed Mexican Defense,2,78,1027.0,-1,-1,1024
1729,Mishel52,2203,3.0,888.0,11.2,7.5,67.35999999999999,29.0,2.0,17.91304347826087,13.0,324.6880907372401,91.0,4.0,12.0,13.0,21.80952380952381,20.0,2.0,tristan20,1955,3.0,1238.0,15.7,10.0,354.40999999999997,72.0,3.0,18.695652173913043,11.0,342.3856332703213,82.0,4.0,24.7,22.0,222.10999999999999,59.0,3.0,https://lichess.org/0kMaVqb7,Sicilian Defense: Löwenthal Variation,0,129,2126.0,4,2,888
1730,ConwyCastle,2223,0.0,1286.0,43.75,34.0,1063.9375,96.0,0.0,62.81818181818182,60.0,2239.4214876033056,162.0,3.0,27.22222222222222,16.0,1063.9506172839506,115.0,2.0,Mishel52,2195,0.0,818.0,25.0,27.5,140.25,42.0,7.0,31.727272727272727,16.0,1614.1983471074382,151.0,8.0,29.88888888888889,28.0,331.8765432098765,61.0,6.0,https://lichess.org/VmXUpkNp,Slav Defense,2,58,2104.0,-2,0,957
1731,Nerp,1982,0.0,1005.0,14.0,10.0,106.22222222222223,39.0,6.0,33.916666666666664,20.0,910.7430555555557,113.0,7.0,47.2,27.5,1864.56,155.0,6.0,Mishel52,2204,0.0,1271.0,12.555555555555555,6.0,165.58024691358025,41.0,4.0,66.66666666666667,31.0,4143.38888888889,184.0,8.0,39.77777777777778,41.0,741.9506172839506,85.0,4.0,https://lichess.org/lhqkIESj,"English Opening: Symmetrical Variation, Two Knights Variation",0,63,2276.0,2,0,215
1732,ismail_GM,1901,0.0,1090.0,12.4,4.5,369.04,67.0,1.0,36.583333333333336,34.5,288.2430555555556,70.0,7.0,52.7,47.5,2256.8100000000004,171.0,4.0,Mishel52,2202,0.0,632.0,8.9,7.0,42.290000000000006,25.0,3.0,21.333333333333332,21.5,122.22222222222221,44.0,4.0,28.7,16.5,579.2099999999999,76.0,3.0,https://lichess.org/yWkWJiaZ,English Opening: Agincourt Defense,2,66,1722.0,-1,-1,160
1733,Al1234567,1898,0.0,1280.0,20.0,13.0,558.6,90.0,7.0,37.583333333333336,16.5,1976.5763888888885,172.0,11.0,57.18181818181818,56.0,2746.876033057851,170.0,0.0,Mishel52,2200,0.0,927.0,16.4,17.0,57.040000000000006,26.0,3.0,24.416666666666668,18.5,335.2430555555555,66.0,6.0,47.0,49.5,885.8,112.0,8.0,https://lichess.org/1UtgIIBC,French Defense: King's Indian Attack,2,67,2207.0,-3,-1,269
1734,Mishel52,2194,0.0,396.0,10.1,6.5,79.48999999999998,33.0,3.0,11.75,11.5,20.1875,19.0,5.0,14.0,11.0,37.63636363636363,24.0,6.0,Amjad_M_Alwan,2119,0.0,285.0,7.7,5.5,49.410000000000004,27.0,2.0,6.916666666666667,6.5,12.576388888888891,15.0,2.0,12.5,10.0,89.25,36.0,1.0,https://lichess.org/y5LuHRnE,Scandinavian Defense: Mieses-Kotroc Variation,0,67,681.0,5,1,773
1735,Mishel52,2198,0.0,1019.0,12.0,9.5,73.57142857142857,34.0,4.0,32.8235294117647,29.0,543.5570934256056,87.0,5.0,19.533333333333335,12.0,192.7822222222222,49.0,5.0,raju0208,1818,0.0,855.0,8.428571428571429,4.5,55.24489795918367,29.0,2.0,24.058823529411764,17.0,430.4083044982699,69.0,2.0,23.428571428571427,8.5,846.3877551020406,111.0,1.0,https://lichess.org/dLyKXmkZ,Pirc Defense: Classical Variation,1,93,1874.0,0,0,549
1736,Mishel52,2194,0.5,996.0,18.842105263157894,10.0,667.185595567867,114.0,2.0,13.954545454545455,11.0,153.22520661157026,51.0,2.0,16.55,11.5,227.64749999999998,69.0,4.0,GITTOALPI33,1993,2.5,1289.0,25.789473684210527,13.0,812.6925207756234,110.0,2.0,17.545454545454547,10.0,309.5206611570248,64.0,2.0,21.736842105263158,12.0,421.98337950138506,62.0,2.0,https://lichess.org/k1217o9y,Sicilian Defense: Paulsen Variation,0,123,2285.0,2,2,924
