,user_id,game_link,elo,colour,opening,result,movements,total_time_player,total_time,early_times_mean,early_times_median,early_times_variance,early_times_max,early_times_min,mid_times_mean,mid_times_median,mid_times_variance,mid_times_max,mid_times_min,end_times_mean,end_times_median,end_times_variance,end_times_max,end_times_min,points_balance,taken_balance,aggressiveness
45,billow1,https://lichess.org/YiopQtnz,2252,Black,Sicilian Defense,2,80,1131.0,2531.0,14.5,8.5,262.9166666666667,51.0,1.0,18.214285714285715,12.0,190.73979591836732,46.0,3.0,54.0,23.0,4265.2307692307695,226.0,5.0,5,1,2.0
46,mysonnevercallme,https://lichess.org/UV4Z67QK,1903,White,"Sicilian Defense: Najdorf, Lipnitsky Attack",0,104,1177.0,2222.0,35.5625,13.0,1773.74609375,120.0,0.0,16.666666666666668,5.0,404.33333333333326,71.0,1.0,18.11764705882353,4.0,597.7508650519031,78.0,0.0,-3,-3,0.5
47,billow1,https://lichess.org/UV4Z67QK,2250,Black,"Sicilian Defense: Najdorf, Lipnitsky Attack",2,104,1045.0,2222.0,23.6875,6.0,2887.21484375,228.0,1.0,23.72222222222222,19.5,309.53395061728395,60.0,2.0,14.058823529411764,5.0,343.3494809688581,62.0,1.0,3,3,2.5
48,notzmv,https://lichess.org/vZvYI1Bq,2015,White,English Opening: Anglo-Indian Defense,0,82,1392.0,2682.0,17.0,9.0,376.5,74.0,2.0,59.86666666666667,28.0,5116.782222222222,234.0,2.0,22.307692307692307,9.0,641.9053254437871,81.0,1.0,0,0,0.0
49,billow1,https://lichess.org/vZvYI1Bq,2245,Black,English Opening: Anglo-Indian Defense,2,82,1290.0,2682.0,18.5,5.0,633.0833333333334,93.0,3.0,59.06666666666667,38.0,2336.462222222223,190.0,17.0,14.0,10.0,125.6923076923077,41.0,3.0,0,0,0.0
50,RaulPanduroHuaynate,https://lichess.org/bgHfXfvw,1877,White,"Indian Game: King's Indian Variation, Fianchetto Variation",0,32,162.0,482.0,4.75,4.5,3.1875,7.0,3.0,8.0,7.0,28.333333333333332,16.0,2.0,19.0,20.0,215.6,45.0,3.0,-4,-2,2.0
51,billow1,https://lichess.org/bgHfXfvw,2242,Black,"Indian Game: King's Indian Variation, Fianchetto Variation",2,32,320.0,482.0,5.5,2.5,37.25,16.0,1.0,29.833333333333332,11.0,1076.8055555555557,80.0,2.0,23.8,12.0,593.36,71.0,6.0,4,2,0.0
52,billow1,https://lichess.org/utTIEaPT,2237,White,Nimzo-Indian Defense: Reshevsky Variation,2,66,324.0,1668.0,4.7,3.0,16.409999999999997,14.0,1.0,17.416666666666668,8.0,737.9097222222223,104.0,2.0,6.8,6.5,11.96,12.0,2.0,0,0,0.0
53,vvoix,https://lichess.org/utTIEaPT,2039,Black,Nimzo-Indian Defense: Reshevsky Variation,0,66,1344.0,1668.0,36.6,21.0,1588.2400000000002,142.0,6.0,69.91666666666667,62.5,1912.2430555555557,156.0,14.0,13.9,10.0,113.49000000000001,37.0,0.0,0,0,0.0
54,hard1baby,https://lichess.org/PCCv5F2u,1965,White,Sicilian Defense,0,74,505.0,863.0,11.727272727272727,12.0,65.10743801652892,27.0,2.0,10.846153846153847,10.0,36.130177514792905,25.0,3.0,19.583333333333332,12.0,298.5763888888889,56.0,2.0,-1,-1,0.0
55,billow1,https://lichess.org/PCCv5F2u,2233,Black,Sicilian Defense,2,74,358.0,863.0,10.272727272727273,4.0,221.47107438016528,55.0,2.0,10.076923076923077,8.0,38.68639053254438,22.0,2.0,9.5,4.0,90.58333333333333,33.0,2.0,1,1,2.0
56,bilyboy,https://lichess.org/hq6S9TeH,1996,White,Sicilian Defense,0,78,1063.0,2254.0,19.166666666666668,8.0,803.6388888888888,97.0,2.0,36.285714285714285,13.5,2192.6326530612246,152.0,5.0,27.083333333333332,14.0,994.7430555555558,102.0,2.0,-8,0,0.0
57,billow1,https://lichess.org/hq6S9TeH,2229,Black,Sicilian Defense,2,78,1191.0,2254.0,55.583333333333336,21.0,5413.076388888888,225.0,2.0,17.714285714285715,17.5,174.48979591836732,52.0,1.0,23.0,11.0,791.1666666666666,108.0,3.0,8,0,2.0
58,SaltedMeat,https://lichess.org/acaJMbZH,1890,White,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",0,38,293.0,491.0,7.2,7.0,6.959999999999999,10.0,3.0,15.428571428571429,7.0,265.95918367346934,52.0,5.0,24.833333333333332,22.0,248.13888888888889,52.0,7.0,-5,-1,2.0
59,billow1,https://lichess.org/acaJMbZH,2226,Black,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",2,38,198.0,491.0,4.0,2.0,16.4,12.0,1.0,11.571428571428571,10.0,77.10204081632654,31.0,3.0,16.166666666666668,13.5,93.13888888888887,31.0,6.0,5,1,2.0
60,billow1,https://lichess.org/5drmryD1,2222,White,Grünfeld Defense: Exchange Variation,2,105,1097.0,1828.0,23.1875,4.0,1586.40234375,136.0,0.0,31.210526315789473,15.0,1442.9030470914124,129.0,4.0,7.823529411764706,4.0,59.321799307958464,27.0,2.0,3,1,2.5
61,SaltedMeat,https://lichess.org/5drmryD1,1903,Black,Grünfeld Defense: Exchange Variation,0,105,731.0,1828.0,15.5625,9.5,185.99609375,48.0,1.0,17.157894736842106,13.0,101.50138504155125,39.0,5.0,9.75,7.5,80.6875,41.0,2.0,-3,-1,0.0
62,SaltedMeat,https://lichess.org/R5RJXI0A,1919,White,Zukertort Opening: Double Fianchetto Attack,0,39,362.0,530.0,19.0,13.0,168.4,37.0,6.0,17.0,15.0,67.75,34.0,7.0,21.833333333333332,18.0,233.80555555555554,46.0,4.0,-5,-3,0.0
63,billow1,https://lichess.org/R5RJXI0A,2219,Black,Zukertort Opening: Double Fianchetto Attack,2,39,168.0,530.0,3.4,4.0,5.040000000000001,7.0,1.0,11.375,9.5,36.984375,26.0,6.0,12.0,13.0,20.8,18.0,5.0,5,3,0.0
64,billow1,https://lichess.org/AFXw2O4D,2214,White,"Benko Gambit Accepted, Fully Accepted Variation",2,46,561.0,833.0,2.5,1.5,4.583333333333333,7.0,1.0,26.11111111111111,3.0,2947.432098765432,177.0,1.0,44.42857142857143,29.0,1803.387755102041,109.0,4.0,0,0,0.0
65,henryairsword,https://lichess.org/AFXw2O4D,1975,Black,"Benko Gambit Accepted, Fully Accepted Variation",0,46,272.0,833.0,2.5,2.5,1.5833333333333333,4.0,1.0,10.88888888888889,8.0,64.09876543209877,26.0,1.0,22.714285714285715,21.0,173.3469387755102,42.0,7.0,0,0,0.0
66,henryairsword,https://lichess.org/laInMHsk,1978,White,"Sicilian Defense: Scheveningen Variation, English Attack",0,108,957.0,1665.0,21.88235294117647,15.0,617.2802768166091,107.0,3.0,21.105263157894736,3.0,1098.9362880886426,108.0,0.0,10.823529411764707,9.0,71.32179930795849,26.0,1.0,0,0,2.5
67,billow1,https://lichess.org/laInMHsk,2209,Black,"Sicilian Defense: Scheveningen Variation, English Attack",2,108,708.0,1665.0,16.941176470588236,6.0,813.4671280276817,113.0,1.0,14.263157894736842,8.0,287.14127423822714,62.0,1.0,8.764705882352942,6.0,65.2387543252595,37.0,2.0,0,0,4.5
68,gregory1964,https://lichess.org/3aRy5PMp,1851,White,Sicilian Defense: Najdorf Variation,0,20,20.0,64.0,1.0,1.0,0.0,1.0,1.0,2.5,3.0,2.25,4.0,0.0,2.6666666666666665,3.0,0.22222222222222224,3.0,2.0,-8,0,2.0
69,billow1,https://lichess.org/3aRy5PMp,2206,Black,Sicilian Defense: Najdorf Variation,2,20,44.0,64.0,3.0,3.0,1.0,4.0,2.0,6.25,4.5,22.1875,14.0,2.0,4.333333333333333,4.0,0.22222222222222224,5.0,4.0,8,0,4.0
70,Vigorous_Queen,https://lichess.org/YY3zI5q1,1891,White,Sicilian Defense: Grand Prix Attack,0,108,1437.0,2551.0,17.294117647058822,8.0,434.9134948096885,78.0,0.0,35.1578947368421,27.0,1079.6066481994458,128.0,2.0,27.941176470588236,15.0,919.937716262976,112.0,0.0,-1,-1,2.5
71,billow1,https://lichess.org/YY3zI5q1,2203,Black,Sicilian Defense: Grand Prix Attack,2,108,1114.0,2551.0,10.705882352941176,7.0,152.9134948096886,53.0,1.0,31.105263157894736,25.0,589.1468144044321,90.0,2.0,20.058823529411764,7.0,1328.5259515570933,161.0,2.0,1,1,4.5
72,classyplays,https://lichess.org/p4pjGfgF,2505,White,"King's Indian Defense: Fianchetto Variation, Kavalek Defense",2,76,1326.0,2682.0,11.818181818181818,7.0,99.78512396694214,32.0,1.0,65.0,38.0,4471.857142857143,263.0,1.0,23.833333333333332,7.0,1950.1388888888887,165.0,2.0,0,0,0.0
73,BerserkModeON,https://lichess.org/p4pjGfgF,1933,Black,"King's Indian Defense: Fianchetto Variation, Kavalek Defense",0,76,1356.0,2682.0,25.272727272727273,11.0,2218.561983471074,173.0,2.0,57.07142857142857,41.5,3468.923469387755,225.0,0.0,23.25,16.0,520.8541666666666,89.0,2.0,0,0,0.0
74,classyplays,https://lichess.org/KXcoQ8sq,2504,White,Benoni Defense: Old Benoni,2,67,610.0,1318.0,15.1,11.5,148.89,34.0,1.0,21.0,12.0,486.8333333333333,71.0,0.0,18.818181818181817,10.0,288.8760330578513,54.0,3.0,-1,-1,0.0
